name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Family Rules,0.739,0.482,1,-7.184,1,0.138,0.0119,0.0,0.376,0.598,104.999,44507
Know What I'm Doin',0.744,0.643,4,-6.665,1,0.128,0.0231,0.0,0.06,0.836,155.985,271080
Don't Die,0.764,0.653,8,-5.199,1,0.256,0.102,0.0,0.103,0.218,90.068,236000
Ain't Worried Bout Sh*t,0.688,0.824,0,-4.158,0,0.326,0.317,0.0,0.0769,0.789,184.042,226880
Out The Pound,0.737,0.707,2,-4.85,1,0.181,0.0134,0.0,0.328,0.27,160.016,257933
Leather So Soft,0.824,0.671,8,-7.213,0,0.242,0.111,1.24e-06,0.0899,0.379,144.991,291413
Army Gunz,0.555,0.85,11,-6.864,1,0.287,0.0203,5.08e-06,0.586,0.468,158.038,244600
Protector,0.715,0.447,11,-7.585,1,0.472,0.198,0.0,0.0836,0.768,130.045,37053
Get That Money,0.843,0.679,6,-5.657,1,0.199,0.00591,0.0,0.109,0.74,137.965,283933
No More,0.7,0.793,6,-2.791,1,0.0358,0.00128,0.0,0.11,0.535,148.129,280000
High,0.839,0.608,5,-6.021,0,0.235,0.024,0.0,0.0746,0.535,87.997,242333
Cali Dro,0.698,0.944,11,-5.508,0,0.0818,0.0027,0.000131,0.243,0.731,150.028,271267
About All That,0.53,0.715,11,-3.43,0,0.0815,7.66e-05,1.03e-06,0.183,0.254,111.451,271920
Respect,0.633,0.679,11,-9.213,1,0.0723,0.00157,2.99e-05,0.228,0.245,144.031,35160
Stuntin' Like My Daddy - Rock Remix,0.656,0.915,5,-2.668,0,0.107,0.00579,0.0,0.175,0.936,160.158,280480
Brown Paper Bag,0.702,0.584,11,-6.617,0,0.225,0.00552,2.54e-06,0.154,0.551,146.941,225373
Neighborhood Superstars,0.813,0.748,4,-4.838,0,0.193,0.431,0.0,0.287,0.939,92.078,220373
I'm Ridin',0.466,0.769,1,-6.353,0,0.321,0.0132,0.0,0.062,0.492,76.448,272200
Shooter,0.686,0.658,2,-6.051,1,0.312,0.266,4.53e-06,0.196,0.701,80.997,277373
Loyalty,0.453,0.555,4,-12.593,0,0.393,0.0577,0.0,0.417,0.408,73.005,117147
Over Here Hustlin' - Album Version (Edited),0.681,0.836,11,-5.166,0,0.251,0.0284,0.0,0.168,0.684,144.437,292227
Stuntin' Like My Daddy - Radio Edit,0.708,0.865,5,-7.583,0,0.0404,0.00851,0.0,0.159,0.841,160.002,267293
1st Key - Album Version (Edited),0.704,0.641,2,-6.169,1,0.0587,0.0207,4.6e-05,0.146,0.687,151.01,254453
Like Father Like Son - Album Version (Edited),0.689,0.76,11,-5.205,1,0.229,0.0204,0.0,0.33,0.646,154.082,262400
You Ain't Know - Album Version (Edited),0.882,0.628,1,-7.768,0,0.385,0.109,0.0,0.12,0.825,153.063,264133
Family Rules,0.739,0.482,1,-7.184,1,0.138,0.0119,0.0,0.376,0.598,104.957,44507
Know What I'm Doin' - Album Version (Edited),0.742,0.639,1,-6.742,0,0.125,0.02,0.0,0.059,0.838,156.076,271107
Don't Die,0.776,0.616,8,-5.293,1,0.234,0.0652,0.0,0.0971,0.198,90.341,235973
Ain't Worried Bout Sh*t - Album Version (Edited),0.7,0.822,0,-4.25,0,0.308,0.281,0.0,0.0771,0.779,184.033,226880
Out The Pound - Album Version (Edited),0.737,0.71,2,-4.869,1,0.149,0.0118,0.0,0.312,0.244,160.02,257933
Leather So Soft - Album Version (Edited),0.832,0.663,1,-7.291,0,0.218,0.0961,3.48e-06,0.0892,0.386,144.993,291413
Army Gunz - Album Version (Edited),0.553,0.843,11,-6.935,1,0.279,0.0163,1.46e-05,0.571,0.522,78.978,244600
Protector,0.608,0.444,3,-7.581,0,0.493,0.198,0.0,0.0832,0.776,128.661,37053
Get That Money - Album Version (Edited),0.851,0.679,1,-5.849,0,0.182,0.00495,0.0,0.103,0.711,137.947,283933
No More - Album Version (Edited),0.702,0.802,6,-2.818,1,0.0361,0.00103,1.9e-06,0.113,0.524,148.133,280000
High - Album Version (Edited),0.83,0.561,5,-6.121,0,0.286,0.0161,0.0,0.089,0.592,87.982,242333
Cali Dro - Album Version (Edited),0.702,0.941,11,-5.512,0,0.0814,0.00281,0.000295,0.263,0.732,150.019,271267
About All That - Album Version (Edited),0.444,0.69,4,-3.474,0,0.0859,6.22e-05,1.25e-06,0.196,0.228,111.931,271920
Respect,0.608,0.694,6,-9.21,0,0.0717,0.00157,2.95e-05,0.243,0.231,144.213,35160
Stuntin' Like My Daddy - Rock Remix,0.654,0.913,5,-2.704,0,0.0968,0.00416,0.0,0.175,0.945,160.184,280480
Brown Paper Bag - Album Version (Edited),0.55,0.58,7,-6.661,1,0.22,0.00467,5.08e-06,0.174,0.507,97.685,225387
Neighborhood Superstars - Album Version (Edited),0.825,0.733,4,-4.908,0,0.196,0.399,1.89e-06,0.274,0.961,92.0,220387
I'm Ridin' - Album Version (Edited),0.461,0.783,6,-6.335,0,0.213,0.0122,0.0,0.0519,0.483,84.428,272133
Shooter - Album Version (Edited),0.662,0.668,2,-6.049,1,0.357,0.221,5.41e-06,0.25,0.69,81.087,277000
Fly In - Chopped & Screwed,0.631,0.411,9,-13.658,0,0.36,0.0429,1.71e-05,0.766,0.51,151.17,188093
Tha Mobb - Chopped & Screwed,0.617,0.411,1,-15.326,1,0.479,0.027,0.0,0.689,0.474,125.157,405960
Money On My Mind - Chopped & Screwed,0.599,0.437,1,-14.298,1,0.369,0.0275,0.0,0.843,0.382,125.455,295067
Best Rapper Alive - Chopped & Screwed,0.695,0.595,1,-11.494,1,0.151,0.0133,0.0,0.757,0.298,125.758,263373
Fireman - Chopped & Screwed Album Version,0.697,0.417,2,-11.514,1,0.191,0.0294,0.0,0.39,0.111,128.969,309160
Oh No - Chopped & Screwed,0.624,0.36,5,-15.672,0,0.542,0.0132,0.0,0.332,0.503,127.894,218227
Shooter - Chopped & Screwed,0.672,0.43,6,-14.713,1,0.237,0.331,0.000348,0.199,0.634,133.778,302400
Mo Fire - Chopped & Screwed,0.838,0.436,0,-13.941,1,0.361,0.0637,0.0,0.308,0.843,133.676,229853
Weezy Baby - Chopped & Screwed,0.831,0.464,11,-11.766,0,0.258,0.0207,0.0,0.123,0.777,134.095,85960
Lock And Load - Chopped & Screwed,0.704,0.507,1,-11.899,1,0.304,0.129,0.0,0.23,0.555,137.571,293427
Hustler Musik - Chopped & Screwed,0.663,0.49,1,-10.131,1,0.295,0.369,0.0,0.222,0.609,137.843,292147
Watts Scratch - Chopped & Screwed,0.756,0.968,1,-10.244,1,0.149,0.0262,0.829,0.382,0.554,137.72,27160
Receipt - Chopped & Screwed,0.636,0.653,1,-11.437,1,0.31,0.0542,5.56e-06,0.557,0.613,137.595,244893
Grown Man - Chopped & Screwed,0.781,0.413,11,-12.229,1,0.429,0.175,0.0,0.306,0.811,137.762,279733
Hit Em Up - Chopped & Screwed,0.715,0.408,1,-17.273,1,0.365,0.0557,0.0,0.15,0.796,136.335,217333
Carter II - Chopped & Screwed,0.46,0.458,0,-13.412,1,0.428,0.11,0.0,0.627,0.443,76.722,167467
I'm A Dboy - Chopped & Screwed,0.761,0.512,7,-15.692,1,0.324,0.08,0.0,0.124,0.485,151.126,229320
Feel Me - Chopped & Screwed,0.591,0.487,6,-14.711,0,0.293,0.0215,0.0,0.35,0.477,156.945,278267
Get Over - Chopped & Screwed,0.65,0.516,4,-12.78,1,0.293,0.0362,9.76e-05,0.151,0.388,137.533,329613
Fly Out - Chopped & Screwed,0.639,0.444,0,-15.849,1,0.357,0.0601,0.0,0.439,0.497,153.611,131320
Tha Mobb,0.526,0.717,6,-7.182,0,0.363,0.00473,0.0,0.096,0.224,149.226,320547
Fly In,0.553,0.642,8,-5.868,1,0.322,0.0647,1.15e-06,0.123,0.496,180.992,143147
Money On My Mind,0.535,0.772,1,-6.503,0,0.37,0.0127,0.0,0.11,0.661,152.173,271573
Fireman,0.682,0.723,1,-4.628,1,0.211,0.0109,0.0,0.406,0.364,80.634,263547
Mo Fire,0.832,0.663,11,-6.36,0,0.336,0.0791,0.0,0.18,0.642,145.953,203733
On Tha Block #1 - Skit,0.679,0.182,6,-17.811,1,0.954,0.964,0.0,0.152,0.785,143.836,38680
Best Rapper Alive,0.633,0.879,2,-3.456,1,0.141,0.00453,0.0,0.822,0.416,151.51,293680
Lock And Load,0.718,0.883,1,-3.91,0,0.31,0.0823,0.0,0.381,0.517,170.074,286560
Oh No,0.725,0.6,1,-7.852,0,0.423,0.0106,0.0,0.35,0.454,106.223,191533
Grown Man,0.788,0.729,7,-4.515,1,0.275,0.135,0.0,0.205,0.819,82.01,246413
On Tha Block #2 - Skit,0.576,0.352,6,-16.556,1,0.619,0.916,0.0,0.543,0.917,78.019,25960
Hit Em Up,0.676,0.745,8,-8.813,1,0.369,0.0262,0.0,0.0756,0.888,81.343,247040
Carter II,0.669,0.739,8,-5.333,1,0.245,0.0944,0.0,0.153,0.486,89.593,144080
Hustler Musik,0.661,0.746,8,-2.223,0,0.25,0.362,0.0,0.454,0.678,83.935,303667
Receipt,0.5,0.889,6,-3.554,0,0.37,0.0157,0.0,0.147,0.68,174.067,228187
Shooter,0.684,0.66,2,-6.025,1,0.323,0.245,4.93e-06,0.296,0.735,81.034,275267
Weezy Baby,0.784,0.637,2,-4.227,0,0.281,0.0342,0.0,0.283,0.747,77.856,258760
On Tha Block #3 - Skit,0.0,0.407,1,-14.264,1,0.0,0.762,0.0,0.722,0.0,0.0,13587
I'm A Dboy,0.714,0.842,2,-7.367,1,0.211,0.0582,0.0,0.0582,0.374,87.973,240427
Feel Me,0.683,0.748,7,-6.283,1,0.196,0.00786,0.0,0.334,0.431,91.573,228867
Get Over,0.587,0.803,7,-4.44,1,0.27,0.0554,0.000143,0.21,0.461,161.808,282720
Fly Out,0.521,0.72,8,-5.444,1,0.292,0.0764,0.0,0.157,0.42,90.05,145053
Tha Mobb - Album Version (Edited),0.485,0.716,9,-7.131,1,0.346,0.00454,0.0,0.117,0.212,149.695,320547
Fly In - Album Version (Edited),0.458,0.664,8,-5.617,1,0.32,0.0765,2.73e-06,0.138,0.468,67.412,143147
Money On My Mind - Album Version (Edited),0.53,0.766,1,-6.887,0,0.324,0.0175,0.0,0.11,0.596,151.833,271573
Fireman - Album Version (Edited),0.683,0.732,1,-4.639,1,0.203,0.00983,0.0,0.404,0.371,80.648,263547
Mo Fire - Album Version (Edited),0.802,0.595,10,-8.532,0,0.399,0.0476,0.0,0.163,0.563,72.993,203733
On Tha Block #1 - Skit - Album Version (Edited),0.677,0.124,9,-21.246,1,0.947,0.979,0.0,0.166,0.797,143.293,38533
Best Rapper Alive - Album Version (Edited),0.627,0.883,2,-3.445,1,0.152,0.00359,0.0,0.619,0.379,151.533,293693
Lock And Load - Album Version (Edited),0.804,0.874,10,-3.833,0,0.262,0.0797,0.0,0.355,0.481,85.034,286760
Oh No - Album Version (Edited),0.576,0.559,6,-7.597,0,0.52,0.0101,0.0,0.38,0.494,106.471,191547
Grown Man - Album Version (Edited),0.737,0.733,7,-4.158,1,0.332,0.119,0.0,0.16,0.813,81.938,246400
On Tha Block #2 - Skit - Album Version (Edited),0.447,0.367,4,-17.962,1,0.904,0.955,0.0,0.438,0.918,77.523,25973
Hit Em Up - Album Version (Edited),0.658,0.805,8,-6.558,1,0.351,0.0227,0.0,0.0921,0.875,81.205,247027
Carter II - Album Version (Edited),0.54,0.715,8,-5.946,1,0.285,0.0978,0.0,0.129,0.486,87.481,144093
Hustler Musik - Album Version (Edited),0.642,0.725,8,-3.204,0,0.236,0.345,0.0,0.458,0.749,83.838,303653
Receipt - Album Version (Edited),0.492,0.886,6,-3.69,0,0.37,0.0113,0.0,0.103,0.68,174.088,228200
Shooter - Album Version (Edited),0.636,0.675,2,-6.036,1,0.36,0.243,3.28e-06,0.282,0.685,80.833,275253
Weezy Baby - Album Version (Edited),0.804,0.584,2,-4.424,1,0.235,0.0341,0.0,0.322,0.746,77.905,258760
On Tha Block #3 - Skit - Album Version (Edited),0.0,0.36,1,-17.718,1,0.0,0.774,0.0,0.691,0.0,0.0,13600
I'm A Dboy - Album Version (Edited),0.724,0.874,2,-6.383,1,0.245,0.0464,0.0,0.066,0.382,176.071,240413
Feel Me - Album Version (Edited),0.684,0.73,7,-6.292,1,0.289,0.00825,0.0,0.36,0.408,91.436,228880
Get Over - Album Version (Edited),0.58,0.822,7,-4.007,1,0.298,0.0602,9.02e-05,0.179,0.485,161.739,282707
Fly Out - Album Version (Edited),0.703,0.678,8,-6.1,1,0.264,0.0814,0.0,0.208,0.441,89.911,145053
Tha Mobb,0.531,0.717,6,-7.182,0,0.36,0.00473,0.0,0.096,0.223,149.228,320547
Fly In,0.549,0.642,8,-5.868,1,0.317,0.0647,1.15e-06,0.123,0.5,180.071,143147
Money On My Mind,0.536,0.771,1,-6.503,0,0.369,0.0126,0.0,0.11,0.66,152.174,271573
Fireman - Main,0.682,0.723,1,-4.628,1,0.211,0.0109,0.0,0.406,0.365,80.634,263547
Mo Fire,0.831,0.663,11,-6.36,0,0.336,0.0791,0.0,0.18,0.642,145.941,203733
On Tha Block #1 - Skit,0.679,0.179,6,-17.811,1,0.955,0.964,0.0,0.152,0.78,143.836,38680
Best Rapper Alive,0.633,0.879,2,-3.456,1,0.141,0.00453,0.0,0.822,0.416,151.51,293680
Lock And Load,0.716,0.883,1,-3.91,0,0.311,0.0823,0.0,0.381,0.514,170.095,286560
Oh No,0.725,0.6,1,-7.852,0,0.423,0.0107,0.0,0.35,0.454,106.223,191533
Grown Man,0.788,0.729,7,-4.515,1,0.282,0.133,0.0,0.205,0.815,82.01,246413
On Tha Block #2 - Skit,0.589,0.355,0,-16.555,1,0.584,0.919,0.0,0.542,0.923,80.324,25960
Hit Em Up,0.661,0.745,8,-8.813,1,0.376,0.026,0.0,0.0756,0.887,81.339,247040
Carter II,0.511,0.739,8,-5.333,1,0.286,0.0933,0.0,0.153,0.48,86.925,144080
Hustler Musik,0.661,0.746,8,-2.223,0,0.25,0.36,0.0,0.454,0.678,83.939,303667
Receipt,0.497,0.888,6,-3.553,0,0.37,0.0154,0.0,0.147,0.677,174.067,228187
Shooter,0.684,0.66,2,-6.025,1,0.323,0.245,4.93e-06,0.296,0.735,81.034,275267
Weezy Baby,0.784,0.637,2,-4.227,0,0.281,0.0342,0.0,0.283,0.747,77.856,258760
On Tha Block #3 - Skit,0.0,0.407,1,-14.264,1,0.0,0.762,0.0,0.722,0.0,0.0,13587
I'm A Dboy,0.713,0.841,2,-7.367,1,0.216,0.0583,0.0,0.0582,0.372,87.981,240427
Feel Me,0.683,0.748,7,-6.283,1,0.196,0.00786,0.0,0.334,0.431,91.573,228867
Get Over,0.587,0.802,7,-4.44,1,0.272,0.0554,0.000148,0.21,0.458,161.811,282720
Fly Out,0.522,0.721,8,-5.444,1,0.287,0.0764,0.0,0.157,0.416,89.923,145053
Walk In,0.726,0.708,0,-2.938,0,0.379,0.0102,0.0,0.0335,0.834,73.981,184493
Go DJ,0.736,0.792,6,-3.137,1,0.146,0.0617,0.0,0.223,0.699,157.955,281827
This Is The Carter,0.836,0.854,7,-3.694,0,0.278,0.17,0.0,0.092,0.773,95.064,276040
BM J.R.,0.719,0.883,2,-3.682,1,0.135,0.0515,4.64e-06,0.342,0.696,159.982,298480
On The Block #1,0.568,0.42,10,-16.428,1,0.954,0.562,0.0,0.471,0.305,203.903,18920
I Miss My Dawgs,0.795,0.607,1,-5.993,0,0.287,0.0605,0.0,0.0999,0.628,78.031,275093
We Don't,0.624,0.81,2,-6.378,0,0.384,0.131,0.0,0.301,0.758,162.168,249747
On My Own,0.776,0.853,7,-4.462,1,0.327,0.301,0.0,0.246,0.618,125.785,268080
The Heat,0.677,0.761,7,-5.483,1,0.417,0.0176,0.0,0.114,0.69,169.776,276840
Cash Money Millionaires,0.604,0.905,7,-2.706,1,0.337,0.02,0.0,0.155,0.727,165.956,282347
Inside,0.656,0.718,0,-2.331,0,0.357,0.0157,0.0,0.131,0.783,73.579,90573
Bring It Back,0.826,0.695,7,-4.42,1,0.174,0.0268,0.0,0.11,0.555,85.974,261213
Who Wanna,0.665,0.788,2,-6.017,1,0.323,0.0846,0.0,0.34,0.642,183.056,272413
On The Block #2,0.627,0.505,0,-15.082,1,0.959,0.937,0.0,0.185,0.966,83.061,23960
Get Down,0.722,0.818,8,-3.043,0,0.223,0.134,1.56e-06,0.158,0.764,88.958,272920
Snitch,0.844,0.723,6,-4.114,0,0.283,0.169,0.0,0.226,0.625,102.907,235973
Hoes,0.773,0.781,1,-2.763,0,0.284,0.436,0.0,0.0705,0.813,88.02,272147
Only Way,0.537,0.691,7,-5.242,1,0.308,0.0243,0.0,0.135,0.779,83.389,273187
Shine,0.883,0.688,9,-4.054,0,0.11,0.254,0.00104,0.109,0.664,99.895,316880
Ain't That A Bitch,0.705,0.863,8,-3.903,0,0.315,0.235,0.0,0.0387,0.938,92.909,257160
Walk Out,0.69,0.808,2,-2.834,0,0.421,0.0289,0.0,0.192,0.847,72.055,68000
Walk In - Album Version (Edited),0.676,0.664,7,-2.998,0,0.378,0.0108,0.0,0.083,0.86,73.576,184533
Go DJ - Album Version (Edited),0.759,0.78,6,-4.0,1,0.164,0.0803,0.0,0.171,0.715,157.961,281827
This Is The Carter - Album Version (Edited),0.862,0.85,5,-3.668,0,0.258,0.165,0.0,0.12,0.745,95.052,276027
BM J.R. - Album Version (Edited),0.711,0.881,11,-4.182,0,0.122,0.0695,2.9e-05,0.299,0.686,160.03,298707
On The Block #1 - Album Version (Edited),0.714,0.352,8,-16.305,0,0.916,0.591,0.0,0.414,0.365,117.098,18613
I Miss My Dawgs - Album Version (Edited),0.806,0.601,1,-6.02,0,0.277,0.0598,0.0,0.101,0.614,78.024,275747
We Don't - Album Version (Edited),0.637,0.795,2,-6.331,0,0.37,0.113,0.0,0.129,0.806,162.069,249733
On My Own - Album Version (Edited),0.792,0.827,4,-4.87,0,0.336,0.325,0.0,0.255,0.738,125.835,268027
The Heat - Album Version (Edited),0.708,0.756,7,-5.71,1,0.393,0.0106,0.0,0.0911,0.667,169.621,278347
Cash Money Millionaires - Album Version (Edited),0.636,0.935,7,-1.787,1,0.272,0.0126,0.0,0.0879,0.754,165.866,282387
Inside - Album Version (Edited),0.696,0.664,8,-3.014,1,0.368,0.0118,0.0,0.101,0.833,74.427,90493
Bring It Back - Main Clean,0.743,0.677,7,-4.655,1,0.291,0.0215,0.0,0.108,0.552,172.068,261493
Who Wanna - Album Version (Edited),0.674,0.781,2,-6.046,1,0.32,0.0676,0.0,0.313,0.647,183.102,273027
On The Block #2 - Album Version (Edited),0.607,0.56,5,-14.382,1,0.946,0.916,0.0,0.228,0.882,129.99,23760
Get Down - Album Version (Edited),0.697,0.793,7,-3.077,1,0.229,0.098,2.83e-06,0.118,0.763,88.922,274107
Snitch - Album Version (Edited),0.951,0.698,6,-4.974,0,0.174,0.11,0.0,0.141,0.613,103.012,236093
Hoes - Album Version (Edited),0.864,0.749,1,-3.569,0,0.302,0.321,0.0,0.0965,0.792,87.887,272240
Only Way - Album Version (Edited),0.775,0.646,7,-5.049,1,0.306,0.0211,8.9e-06,0.0752,0.832,159.876,273067
Shine - Album Version (Edited),0.88,0.686,9,-3.996,0,0.101,0.253,0.00159,0.104,0.636,99.921,317400
Ain't That A Bitch - Album Version (Edited),0.579,0.891,8,-3.143,0,0.393,0.26,0.0,0.0449,0.926,113.495,254307
Walk Out - Album Version (Edited),0.737,0.799,7,-2.378,1,0.418,0.0195,0.0,0.199,0.83,74.121,68560
Walk In - Chopped & Screwed,0.716,0.38,11,-9.703,0,0.486,0.0136,0.0,0.27,0.34,61.618,249293
Go DJ - Chopped & Screwed,0.788,0.495,2,-9.899,1,0.149,0.109,0.0,0.0505,0.39,131.9,352827
I Miss My Dawgs - Chopped & Screwed,0.821,0.382,1,-11.775,1,0.336,0.0868,0.0,0.717,0.686,131.906,262240
Cash Money Millionaires - Chopped & Screwed,0.645,0.828,6,-8.809,0,0.386,0.0646,0.0,0.733,0.453,140.168,290947
Bring It Back - Chopped & Screwed,0.829,0.451,11,-10.12,1,0.294,0.0795,0.0,0.309,0.3,140.106,284587
The Heat - Chopped & Screwed,0.795,0.49,8,-12.085,1,0.394,0.0136,0.0,0.336,0.781,139.707,246693
Who Wanna - Chopped & Screwed,0.773,0.584,9,-11.826,1,0.338,0.169,0.0,0.0877,0.345,139.775,288653
On My Own - Chopped & Screwed,0.588,0.626,8,-10.654,1,0.478,0.332,1.53e-05,0.125,0.713,146.824,346680
Hoes - Chopped & Screwed,0.77,0.519,1,-9.258,1,0.425,0.381,0.0,0.788,0.926,73.462,234787
Earthquake - Chopped & Screwed,0.721,0.402,1,-10.388,1,0.406,0.348,0.0986,0.182,0.61,158.331,345520
This Is The Carter - Chopped & Screwed,0.548,0.653,4,-9.7,0,0.417,0.183,0.0,0.0768,0.604,81.114,296187
Snitch - Chopped & Screwed,0.791,0.434,10,-10.319,1,0.4,0.0992,1.6e-05,0.285,0.412,82.322,227347
On The Block #2 - Chopped & Screwed,0.639,0.379,2,-17.113,1,0.879,0.935,0.0,0.305,0.854,77.054,26227
We Don't - Chopped & Screwed,0.729,0.532,1,-12.459,1,0.577,0.211,0.0,0.205,0.864,129.363,286493
BM J.R. - Chopped & Screwed,0.831,0.616,1,-9.512,1,0.161,0.171,0.000602,0.0934,0.616,129.317,388080
Only Way - Chopped & Screwed,0.828,0.389,1,-11.956,0,0.438,0.0655,8.28e-06,0.1,0.326,128.754,320427
Get Down - Chopped & Screwed,0.676,0.625,5,-9.826,0,0.338,0.134,3.78e-06,0.0751,0.763,140.579,308267
Fly Talkin',0.547,0.842,1,-3.944,1,0.322,0.0772,0.0,0.632,0.76,186.218,95067
Look At Me,0.923,0.783,1,-3.379,1,0.296,0.017,1.49e-06,0.0325,0.714,99.781,240467
Way Of Life,0.877,0.784,9,-4.146,0,0.298,0.0247,0.0,0.0792,0.686,97.89,239800
Big Tigger Live On The Radio,0.784,0.713,11,-6.877,1,0.303,0.0709,0.0,0.103,0.745,89.865,91533
Gangsta And Pimps,0.793,0.539,9,-3.346,1,0.264,0.0166,0.0,0.321,0.657,91.835,281907
Lovely,0.699,0.684,1,-5.359,1,0.186,0.00212,2.85e-06,0.0756,0.761,177.796,242493
Gangsta Shit,0.573,0.694,4,-5.827,0,0.216,0.00163,0.0,0.112,0.274,96.013,220213
Big Tigger Live On The Radio - Album Version #2 (Explicit),0.705,0.702,1,-6.72,0,0.309,0.0783,0.0,0.0943,0.682,90.224,58093
Bloodline,0.735,0.577,11,-4.896,0,0.376,0.0232,0.0,0.332,0.929,87.738,261640
Where You At,0.652,0.837,9,-3.618,1,0.216,0.00338,0.0,0.247,0.311,191.92,230693
Worry Me,0.77,0.826,4,-6.353,1,0.271,0.00375,0.0,0.324,0.709,95.898,246627
500 Degreez,0.806,0.587,7,-6.758,1,0.282,0.023,0.0,0.333,0.802,96.945,225933
Go Hard,0.702,0.822,8,-7.305,1,0.275,0.0174,1.09e-06,0.119,0.833,171.945,210133
Young N' Blues,0.838,0.632,6,-6.459,0,0.242,0.072,1.01e-06,0.223,0.736,80.91,272773
Believe That,0.639,0.6,6,-4.997,1,0.367,0.106,0.0,0.321,0.663,122.77,252227
Rob Nice Live On The Radio,0.846,0.729,8,-8.763,1,0.324,0.015,0.0,0.905,0.943,98.93,73307
F*** You,0.792,0.837,2,-4.525,0,0.18,0.0102,0.0,0.203,0.684,160.049,260533
What Does Life Mean To Me,0.863,0.876,2,-3.998,1,0.202,0.223,7.27e-06,0.316,0.905,115.965,85027
Get That Dough,0.84,0.86,10,-4.57,0,0.275,0.0445,0.0,0.294,0.827,96.813,218267
Fo Sheezy,0.754,0.776,7,-5.461,1,0.312,0.00207,2.98e-05,0.0472,0.694,183.797,224707
Fly Talkin' Go Home,0.713,0.0907,10,-16.942,0,0.83,0.835,0.0,0.3,0.652,112.848,200227
Intro (Watch Them People),0.658,0.405,7,-10.171,1,0.136,0.355,0.0,0.667,0.233,35.629,33973
Get Off The Corner,0.628,0.803,4,-6.301,0,0.289,0.00778,2.27e-06,0.18,0.664,178.429,285627
On The Grind,0.656,0.663,5,-8.026,0,0.291,0.0887,0.0,0.15,0.833,117.098,231773
Hit U Up,0.556,0.795,2,-7.439,1,0.251,0.000957,1.28e-05,0.348,0.655,119.861,311267
Everything,0.793,0.642,7,-8.012,1,0.278,0.0223,0.0,0.232,0.753,89.018,282693
Fuck Wit Me Now,0.815,0.908,11,-6.891,0,0.0936,0.0882,0.0139,0.147,0.9,143.999,273933
Lil' One,0.537,0.551,10,-9.754,0,0.368,0.129,0.0,0.101,0.64,81.539,191840
Break Me Off,0.839,0.689,5,-6.561,0,0.206,0.0955,0.0,0.106,0.756,94.027,265427
Skit,0.644,0.232,5,-13.846,1,0.922,0.325,0.0,0.53,0.517,166.053,42240
Wish You Would,0.755,0.68,2,-7.099,1,0.272,0.187,0.0,0.0957,0.839,172.285,254160
Grown Man,0.77,0.73,7,-6.669,0,0.18,0.0801,0.0,0.0441,0.812,87.055,273867
Shine,0.782,0.939,7,-4.51,1,0.1,0.146,0.00586,0.307,0.749,96.02,304173
Jump Jiggy,0.771,0.815,7,-9.296,1,0.128,0.168,0.0,0.0703,0.839,95.032,253067
Realized,0.787,0.749,7,-7.276,1,0.312,0.142,0.00636,0.118,0.8,172.178,240133
The Blues,0.894,0.642,6,-7.538,0,0.277,0.22,4.07e-05,0.0786,0.685,94.005,229733
Let's Go,0.637,0.608,0,-5.813,0,0.386,0.175,0.0,0.311,0.729,72.98,262827
Biznite,0.7,0.811,10,-7.744,0,0.107,0.0865,0.0329,0.149,0.863,166.086,284373
Act A Ass,0.749,0.75,7,-8.346,1,0.158,0.0215,2.94e-05,0.231,0.621,175.833,248333
Beef,0.609,0.503,1,-8.164,1,0.443,0.201,0.0,0.176,0.82,82.929,266493
Intro,0.654,0.784,10,-6.754,0,0.277,0.0837,0.0,0.523,0.792,91.237,107160
Tha Block Is Hot,0.708,0.941,7,-5.132,1,0.119,0.196,0.00283,0.0402,0.934,174.041,252733
Loud Pipes,0.739,0.828,10,-5.079,0,0.219,0.211,0.0,0.0954,0.745,168.091,314440
Watcha Wanna Do,0.732,0.864,0,-6.596,0,0.336,0.0671,0.0,0.1,0.772,179.627,230133
Kisha,0.505,0.879,5,-6.352,1,0.264,0.479,0.0,0.199,0.68,170.241,257627
High Beamin',0.809,0.89,4,-7.118,0,0.264,0.105,0.0,0.0753,0.79,94.978,249507
Lights Off,0.845,0.927,8,-6.627,1,0.254,0.0903,0.0,0.298,0.662,82.986,246200
Fuck Tha World,0.561,0.763,8,-6.328,0,0.322,0.0846,0.0,0.0622,0.78,82.158,286200
Remember Me,0.659,0.824,2,-8.269,1,0.11,0.00915,5.72e-05,0.112,0.742,182.103,233960
Respect Us,0.742,0.891,9,-7.577,0,0.0584,0.172,0.000281,0.069,0.708,94.016,301333
Drop It Like It's Hot,0.859,0.875,2,-5.177,1,0.143,0.122,0.0,0.159,0.645,104.003,323107
Young Playa,0.783,0.841,7,-6.32,1,0.102,0.0834,0.0,0.0319,0.88,98.026,227627
Enemy Turf,0.772,0.901,10,-3.861,0,0.145,0.0603,1.74e-06,0.0416,0.856,168.049,259107
Not Like Me,0.868,0.757,10,-5.443,0,0.264,0.0336,0.0,0.144,0.807,93.928,243227
Come On,0.818,0.912,10,-4.709,0,0.186,0.186,0.0,0.051,0.869,86.564,215373
Up To Me,0.539,0.726,9,-7.855,0,0.276,0.112,0.0,0.925,0.363,83.136,271467
You Want War,0.854,0.623,10,-6.371,0,0.152,0.0191,3.53e-06,0.294,0.693,103.007,203760
